[2024-12-23T05:38:17.229+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-23T05:38:17.253+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.266+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.268+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-23T05:38:17.290+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-23 05:38:15.253727+00:00
[2024-12-23T05:38:17.299+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=50134) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-23T05:38:17.302+0000] {standard_task_runner.py:72} INFO - Started process 50136 to run task
[2024-12-23T05:38:17.302+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_insert_news', 'fetch_and_insert_news_all_countries', 'manual__2024-12-23T05:38:15.253727+00:00', '--job-id', '27', '--raw', '--subdir', 'DAGS_FOLDER/snowflake_connector_dag.py', '--cfg-path', '/tmp/tmpgmxwkjoo']
[2024-12-23T05:38:17.306+0000] {standard_task_runner.py:105} INFO - Job 27: Subtask fetch_and_insert_news_all_countries
[2024-12-23T05:38:17.369+0000] {task_command.py:467} INFO - Running <TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [running]> on host 4fe538676cbc
[2024-12-23T05:38:17.496+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='srush' AIRFLOW_CTX_DAG_ID='fetch_and_insert_news' AIRFLOW_CTX_TASK_ID='fetch_and_insert_news_all_countries' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T05:38:15.253727+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T05:38:15.253727+00:00'
[2024-12-23T05:38:17.499+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-23T05:38:17.531+0000] {base.py:84} INFO - Retrieving connection 'snowflake_con'
[2024-12-23T05:38:17.533+0000] {connection.py:414} INFO - Snowflake Connector for Python Version: 3.12.4, Python Version: 3.12.8, Platform: Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2024-12-23T05:38:17.535+0000] {connection.py:1197} INFO - Connecting to GLOBAL Snowflake domain
[2024-12-23T05:38:17.536+0000] {connection.py:1278} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2024-12-23T05:38:18.341+0000] {cursor.py:1166} INFO - Number of results in first chunk: 11
[2024-12-23T05:38:18.440+0000] {cursor.py:1166} INFO - Number of results in first chunk: 5
[2024-12-23T05:38:18.442+0000] {logging_mixin.py:190} INFO - Fetched Keywords: ['currency', 'forex', 'finance', 'disease', 'war', 'election', 'pandemic', 'inflation', 'bank', 'trade', 'treaty']
[2024-12-23T05:38:18.443+0000] {logging_mixin.py:190} INFO - Fetched Countries: ['RS', 'AE']
[2024-12-23T05:38:18.444+0000] {logging_mixin.py:190} INFO - Processing news for country: RS
[2024-12-23T05:38:23.447+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-01-30 to 2023-01-31 for RS...
[2024-12-23T05:38:26.407+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:38:31.408+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-01-31 to 2023-02-01 for RS...
[2024-12-23T05:38:34.516+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:38:39.518+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-01 to 2023-02-02 for RS...
[2024-12-23T05:38:42.293+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:38:47.294+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-02 to 2023-02-03 for RS...
[2024-12-23T05:38:50.062+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:38:55.062+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-03 to 2023-02-04 for RS...
[2024-12-23T05:38:58.183+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:39:03.184+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-04 to 2023-02-05 for RS...
[2024-12-23T05:39:08.711+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:39:13.712+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-05 to 2023-02-06 for RS...
[2024-12-23T05:39:17.108+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:39:22.109+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-06 to 2023-02-07 for RS...
[2024-12-23T05:39:25.186+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:39:30.187+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-07 to 2023-02-08 for RS...
[2024-12-23T05:39:34.090+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:39:39.091+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-08 to 2023-02-09 for RS...
[2024-12-23T05:39:42.377+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:39:47.379+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-09 to 2023-02-10 for RS...
[2024-12-23T05:39:50.296+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
