[2024-12-22T00:00:01.488+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-22T00:00:01.510+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.521+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [queued]>
[2024-12-22T00:00:01.522+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-22T00:00:01.544+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-21 00:00:00+00:00
[2024-12-22T00:00:01.552+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=27755) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-22T00:00:01.554+0000] {standard_task_runner.py:72} INFO - Started process 27757 to run task
[2024-12-22T00:00:01.556+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_insert_news', 'fetch_and_insert_news_all_countries', 'scheduled__2024-12-21T00:00:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/snowflake_connector_dag.py', '--cfg-path', '/tmp/tmpy8r22yvf']
[2024-12-22T00:00:01.559+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask fetch_and_insert_news_all_countries
[2024-12-22T00:00:01.621+0000] {task_command.py:467} INFO - Running <TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries scheduled__2024-12-21T00:00:00+00:00 [running]> on host 4fe538676cbc
[2024-12-22T00:00:01.721+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='srush' AIRFLOW_CTX_DAG_ID='fetch_and_insert_news' AIRFLOW_CTX_TASK_ID='fetch_and_insert_news_all_countries' AIRFLOW_CTX_EXECUTION_DATE='2024-12-21T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-21T00:00:00+00:00'
[2024-12-22T00:00:01.722+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-22T00:00:01.751+0000] {base.py:84} INFO - Retrieving connection 'snowflake_con'
[2024-12-22T00:00:01.753+0000] {connection.py:414} INFO - Snowflake Connector for Python Version: 3.12.4, Python Version: 3.12.8, Platform: Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2024-12-22T00:00:01.755+0000] {connection.py:1197} INFO - Connecting to GLOBAL Snowflake domain
[2024-12-22T00:00:01.756+0000] {connection.py:1278} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2024-12-22T00:00:03.646+0000] {cursor.py:1166} INFO - Number of results in first chunk: 11
[2024-12-22T00:00:04.411+0000] {cursor.py:1166} INFO - Number of results in first chunk: 5
[2024-12-22T00:00:04.413+0000] {logging_mixin.py:190} INFO - Fetched Keywords: ['currency', 'forex', 'finance', 'disease', 'war', 'election', 'pandemic', 'inflation', 'bank', 'trade', 'treaty']
[2024-12-22T00:00:04.415+0000] {logging_mixin.py:190} INFO - Fetched Countries: ['JA', 'NZ', 'SZ', 'RS', 'AE']
[2024-12-22T00:00:04.417+0000] {logging_mixin.py:190} INFO - Processing news for country: JA
[2024-12-22T00:00:09.419+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-01 to 2020-01-02 for JA...
[2024-12-22T00:00:13.922+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:00:18.924+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-02 to 2020-01-03 for JA...
[2024-12-22T00:00:23.555+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:00:28.557+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-03 to 2020-01-04 for JA...
[2024-12-22T00:00:32.071+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:00:37.073+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-04 to 2020-01-05 for JA...
[2024-12-22T00:00:40.224+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:00:45.225+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-05 to 2020-01-06 for JA...
[2024-12-22T00:00:52.026+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:00:57.031+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-06 to 2020-01-07 for JA...
[2024-12-22T00:01:09.683+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:01:14.685+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-07 to 2020-01-08 for JA...
[2024-12-22T00:01:17.410+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:01:22.409+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-08 to 2020-01-09 for JA...
[2024-12-22T00:01:27.850+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:01:32.851+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-09 to 2020-01-10 for JA...
[2024-12-22T00:01:40.757+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:01:45.759+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-10 to 2020-01-11 for JA...
[2024-12-22T00:01:49.779+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:01:54.778+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-11 to 2020-01-12 for JA...
[2024-12-22T00:01:58.504+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:03.505+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-12 to 2020-01-13 for JA...
[2024-12-22T00:02:06.197+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:11.199+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-13 to 2020-01-14 for JA...
[2024-12-22T00:02:14.491+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:19.493+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-14 to 2020-01-15 for JA...
[2024-12-22T00:02:22.300+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:27.302+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-15 to 2020-01-16 for JA...
[2024-12-22T00:02:30.518+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:35.520+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-16 to 2020-01-17 for JA...
[2024-12-22T00:02:38.247+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:43.248+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-17 to 2020-01-18 for JA...
[2024-12-22T00:02:45.953+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:50.954+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-18 to 2020-01-19 for JA...
[2024-12-22T00:02:53.742+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:02:58.743+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-19 to 2020-01-20 for JA...
[2024-12-22T00:03:01.973+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:06.975+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-20 to 2020-01-21 for JA...
[2024-12-22T00:03:09.784+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:14.785+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-21 to 2020-01-22 for JA...
[2024-12-22T00:03:18.209+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:23.208+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-22 to 2020-01-23 for JA...
[2024-12-22T00:03:26.064+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:31.065+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-23 to 2020-01-24 for JA...
[2024-12-22T00:03:34.181+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:39.183+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-24 to 2020-01-25 for JA...
[2024-12-22T00:03:41.887+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:46.888+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-25 to 2020-01-26 for JA...
[2024-12-22T00:03:49.552+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:03:54.551+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-26 to 2020-01-27 for JA...
[2024-12-22T00:03:57.838+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:04:02.839+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-27 to 2020-01-28 for JA...
[2024-12-22T00:04:05.462+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:04:10.463+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-28 to 2020-01-29 for JA...
[2024-12-22T00:04:13.578+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:04:18.579+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-29 to 2020-01-30 for JA...
[2024-12-22T00:04:21.301+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:09:26.283+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-30 to 2020-01-31 for JA...
[2024-12-22T00:09:29.437+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:09:34.440+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-01-31 to 2020-02-01 for JA...
[2024-12-22T00:09:37.040+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:09:42.042+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-01 to 2020-02-02 for JA...
[2024-12-22T00:09:44.756+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:09:49.758+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-02 to 2020-02-03 for JA...
[2024-12-22T00:09:52.425+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:09:57.427+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-03 to 2020-02-04 for JA...
[2024-12-22T00:10:00.292+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:10:05.294+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-04 to 2020-02-05 for JA...
[2024-12-22T00:10:09.378+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:10:14.381+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-05 to 2020-02-06 for JA...
[2024-12-22T00:10:17.196+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:10:22.195+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-06 to 2020-02-07 for JA...
[2024-12-22T00:10:24.903+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:10:29.904+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-07 to 2020-02-08 for JA...
[2024-12-22T00:10:32.610+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
[2024-12-22T00:10:37.611+0000] {logging_mixin.py:190} INFO - Fetching news from 2020-02-08 to 2020-02-09 for JA...
[2024-12-22T00:10:40.343+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for JA.
